date,window,score
1987-03-25,full,25.38
1987-03-25,rolling20y,24.8
1987-03-26,full,25.36
1987-03-26,rolling20y,24.78
1987-03-27,full,25.59
1987-03-27,rolling20y,25.21
1987-03-30,full,26.13
1987-03-30,rolling20y,25.78
1987-03-31,full,25.6
1987-03-31,rolling20y,25.3
1987-04-01,full,20.58
1987-04-01,rolling20y,20.68
1987-04-02,full,20.14
1987-04-02,rolling20y,20.22
1987-04-03,full,19.39
1987-04-03,rolling20y,19.27
1987-04-06,full,19.22
1987-04-06,rolling20y,19.07
1987-04-07,full,19.76
1987-04-07,rolling20y,19.8
1987-04-08,full,20.21
1987-04-08,rolling20y,20.25
1987-04-09,full,20.2
1987-04-09,rolling20y,20.31
1987-04-10,full,19.71
1987-04-10,rolling20y,19.8
1987-04-13,full,21.4
1987-04-13,rolling20y,20.96
1987-04-14,full,23.36
1987-04-14,rolling20y,22.58
1987-04-15,full,21.91
1987-04-15,rolling20y,21.33
1987-04-16,full,21.42
1987-04-16,rolling20y,21.06
1987-04-17,full,21.54
1987-04-17,rolling20y,21.18
1987-04-20,full,21.64
1987-04-20,rolling20y,21.19
1987-04-21,full,20.17
1987-04-21,rolling20y,20.26
1987-04-22,full,21.82
1987-04-22,rolling20y,21.42
1987-04-23,full,21.64
1987-04-23,rolling20y,21.18
1987-04-24,full,22.82
1987-04-24,rolling20y,22.07
1987-04-27,full,22.41
1987-04-27,rolling20y,21.65
1987-04-28,full,22.77
1987-04-28,rolling20y,22.04
1987-04-29,full,22.23
1987-04-29,rolling20y,21.6
1987-04-30,full,21.32
1987-04-30,rolling20y,20.9
1987-05-01,full,18.53
1987-05-01,rolling20y,18.08
1987-05-04,full,17.92
1987-05-04,rolling20y,17.56
1987-05-05,full,16.34
1987-05-05,rolling20y,16.43
1987-05-06,full,16.5
1987-05-06,rolling20y,16.58
1987-05-07,full,16.86
1987-05-07,rolling20y,16.87
1987-05-08,full,17.51
1987-05-08,rolling20y,17.34
1987-05-11,full,18.19
1987-05-11,rolling20y,17.92
1987-05-12,full,17.67
1987-05-12,rolling20y,17.49
1987-05-13,full,17.69
1987-05-13,rolling20y,17.52
1987-05-14,full,17.55
1987-05-14,rolling20y,17.38
1987-05-15,full,19.55
1987-05-15,rolling20y,18.92
1987-05-18,full,19.89
1987-05-18,rolling20y,19.21
1987-05-19,full,22.7
1987-05-19,rolling20y,22.15
1987-05-20,full,23.33
1987-05-20,rolling20y,22.83
1987-05-21,full,22.91
1987-05-21,rolling20y,22.35
1987-05-22,full,22.28
1987-05-22,rolling20y,21.67
1987-05-25,full,22.28
1987-05-25,rolling20y,21.67
1987-05-26,full,20.93
1987-05-26,rolling20y,20.29
1987-05-27,full,21.52
1987-05-27,rolling20y,20.85
1987-05-28,full,20.79
1987-05-28,rolling20y,20.19
1987-05-29,full,21.21
1987-05-29,rolling20y,20.57
1987-06-01,full,23.29
1987-06-01,rolling20y,22.78
1987-06-02,full,22.76
1987-06-02,rolling20y,22.19
1987-06-03,full,21.36
1987-06-03,rolling20y,20.96
1987-06-04,full,21.54
1987-06-04,rolling20y,21.27
1987-06-05,full,21.9
1987-06-05,rolling20y,21.5
1987-06-08,full,20.83
1987-06-08,rolling20y,20.67
1987-06-09,full,20.23
1987-06-09,rolling20y,20.09
1987-06-10,full,20.26
1987-06-10,rolling20y,20.12
1987-06-11,full,20.03
1987-06-11,rolling20y,19.99
1987-06-12,full,19.95
1987-06-12,rolling20y,20.12
1987-06-15,full,20.32
1987-06-15,rolling20y,20.56
1987-06-16,full,20.05
1987-06-16,rolling20y,20.34
1987-06-17,full,20.11
1987-06-17,rolling20y,20.39
1987-06-18,full,20.04
1987-06-18,rolling20y,20.34
1987-06-19,full,20.04
1987-06-19,rolling20y,20.35
1987-06-22,full,20.09
1987-06-22,rolling20y,20.36
1987-06-23,full,20.19
1987-06-23,rolling20y,20.5
1987-06-24,full,20.01
1987-06-24,rolling20y,20.32
1987-06-25,full,20.08
1987-06-25,rolling20y,20.4
1987-06-26,full,20.45
1987-06-26,rolling20y,20.75
1987-06-29,full,20.58
1987-06-29,rolling20y,20.9
1987-06-30,full,21.29
1987-06-30,rolling20y,21.3
1987-07-01,full,17.77
1987-07-01,rolling20y,17.47
1987-07-02,full,17.35
1987-07-02,rolling20y,17.23
1987-07-03,full,17.68
1987-07-03,rolling20y,17.56
1987-07-06,full,17.95
1987-07-06,rolling20y,17.73
1987-07-07,full,17.51
1987-07-07,rolling20y,17.5
1987-07-08,full,17.58
1987-07-08,rolling20y,17.59
1987-07-09,full,17.7
1987-07-09,rolling20y,17.62
1987-07-10,full,17.76
1987-07-10,rolling20y,17.73
1987-07-13,full,18.0
1987-07-13,rolling20y,17.86
1987-07-14,full,17.61
1987-07-14,rolling20y,17.67
1987-07-15,full,17.1
1987-07-15,rolling20y,17.11
1987-07-16,full,17.1
1987-07-16,rolling20y,17.18
1987-07-17,full,17.77
1987-07-17,rolling20y,17.86
1987-07-20,full,18.55
1987-07-20,rolling20y,18.55
1987-07-21,full,19.46
1987-07-21,rolling20y,19.2
1987-07-22,full,19.38
1987-07-22,rolling20y,19.1
1987-07-23,full,19.26
1987-07-23,rolling20y,18.9
1987-07-24,full,18.99
1987-07-24,rolling20y,18.71
1987-07-27,full,18.84
1987-07-27,rolling20y,18.65
1987-07-28,full,18.56
1987-07-28,rolling20y,18.42
1987-07-29,full,18.1
1987-07-29,rolling20y,18.17
1987-07-30,full,17.5
1987-07-30,rolling20y,17.59
1987-07-31,full,17.54
1987-07-31,rolling20y,17.62
1987-08-03,full,23.46
1987-08-03,rolling20y,23.64
1987-08-04,full,25.33
1987-08-04,rolling20y,25.43
1987-08-05,full,24.06
1987-08-05,rolling20y,24.25
1987-08-06,full,24.0
1987-08-06,rolling20y,24.16
1987-08-07,full,24.4
1987-08-07,rolling20y,24.54
1987-08-10,full,23.91
1987-08-10,rolling20y,23.97
1987-08-11,full,23.71
1987-08-11,rolling20y,23.59
1987-08-12,full,23.49
1987-08-12,rolling20y,23.4
1987-08-13,full,23.17
1987-08-13,rolling20y,23.05
1987-08-14,full,22.33
1987-08-14,rolling20y,22.24
1987-08-17,full,22.3
1987-08-17,rolling20y,22.22
1987-08-18,full,21.4
1987-08-18,rolling20y,21.5
1987-08-19,full,21.16
1987-08-19,rolling20y,21.26
1987-08-20,full,20.09
1987-08-20,rolling20y,20.03
1987-08-21,full,19.55
1987-08-21,rolling20y,19.48
1987-08-24,full,19.64
1987-08-24,rolling20y,19.73
1987-08-25,full,19.7
1987-08-25,rolling20y,19.64
1987-08-26,full,20.04
1987-08-26,rolling20y,20.13
1987-08-27,full,19.97
1987-08-27,rolling20y,20.12
1987-08-28,full,20.61
1987-08-28,rolling20y,20.86
1987-08-31,full,20.22
1987-08-31,rolling20y,20.45
1987-09-01,full,20.55
1987-09-01,rolling20y,20.41
1987-09-02,full,20.7
1987-09-02,rolling20y,20.41
1987-09-03,full,20.9
1987-09-03,rolling20y,20.44
1987-09-04,full,22.34
1987-09-04,rolling20y,21.75
1987-09-07,full,22.34
1987-09-07,rolling20y,21.75
1987-09-08,full,23.24
1987-09-08,rolling20y,22.57
1987-09-09,full,23.52
1987-09-09,rolling20y,22.85
1987-09-10,full,23.04
1987-09-10,rolling20y,22.4
1987-09-11,full,21.58
1987-09-11,rolling20y,21.14
1987-09-14,full,22.06
1987-09-14,rolling20y,21.63
1987-09-15,full,23.51
1987-09-15,rolling20y,22.87
1987-09-16,full,24.6
1987-09-16,rolling20y,23.94
1987-09-17,full,24.48
1987-09-17,rolling20y,23.8
1987-09-18,full,24.28
1987-09-18,rolling20y,23.57
1987-09-21,full,26.33
1987-09-21,rolling20y,25.64
1987-09-22,full,23.63
1987-09-22,rolling20y,23.0
1987-09-23,full,23.18
1987-09-23,rolling20y,22.59
1987-09-24,full,23.75
1987-09-24,rolling20y,23.11
1987-09-25,full,23.62
1987-09-25,rolling20y,22.98
1987-09-28,full,22.94
1987-09-28,rolling20y,22.37
1987-09-29,full,24.37
1987-09-29,rolling20y,23.75
1987-09-30,full,24.59
1987-09-30,rolling20y,23.97
1987-10-01,full,23.59
1987-10-01,rolling20y,23.26
1987-10-02,full,23.36
1987-10-02,rolling20y,23.02
1987-10-05,full,23.57
1987-10-05,rolling20y,23.27
1987-10-06,full,26.09
1987-10-06,rolling20y,25.52
1987-10-07,full,26.04
1987-10-07,rolling20y,25.49
1987-10-08,full,27.5
1987-10-08,rolling20y,27.0
1987-10-09,full,28.55
1987-10-09,rolling20y,27.89
1987-10-12,full,29.33
1987-10-12,rolling20y,28.72
1987-10-13,full,27.53
1987-10-13,rolling20y,27.0
1987-10-14,full,30.95
1987-10-14,rolling20y,30.64
1987-10-15,full,32.93
1987-10-15,rolling20y,32.97
1987-10-16,full,37.27
1987-10-16,rolling20y,38.08
1987-10-19,full,40.82
1987-10-19,rolling20y,41.44
1987-10-20,full,42.14
1987-10-20,rolling20y,42.91
1987-10-21,full,41.29
1987-10-21,rolling20y,42.43
1987-10-22,full,41.99
1987-10-22,rolling20y,42.91
1987-10-23,full,40.92
1987-10-23,rolling20y,41.84
1987-10-26,full,41.11
1987-10-26,rolling20y,41.77
1987-10-27,full,40.72
1987-10-27,rolling20y,41.43
1987-10-28,full,39.8
1987-10-28,rolling20y,40.51
1987-10-29,full,38.94
1987-10-29,rolling20y,39.84
1987-10-30,full,38.61
1987-10-30,rolling20y,39.59
1987-11-02,full,43.06
1987-11-02,rolling20y,44.24
1987-11-03,full,43.46
1987-11-03,rolling20y,44.54
1987-11-04,full,43.52
1987-11-04,rolling20y,44.55
1987-11-05,full,42.51
1987-11-05,rolling20y,43.67
1987-11-06,full,42.75
1987-11-06,rolling20y,43.82
1987-11-09,full,43.01
1987-11-09,rolling20y,44.0
1987-11-10,full,43.14
1987-11-10,rolling20y,44.07
1987-11-11,full,43.05
1987-11-11,rolling20y,44.04
1987-11-12,full,43.19
1987-11-12,rolling20y,44.21
1987-11-13,full,43.05
1987-11-13,rolling20y,44.08
1987-11-16,full,43.34
1987-11-16,rolling20y,44.35
1987-11-17,full,43.15
1987-11-17,rolling20y,44.15
1987-11-18,full,42.97
1987-11-18,rolling20y,44.01
1987-11-19,full,43.12
1987-11-19,rolling20y,44.08
1987-11-20,full,43.09
1987-11-20,rolling20y,44.07
1987-11-23,full,42.96
1987-11-23,rolling20y,43.95
1987-11-24,full,42.92
1987-11-24,rolling20y,43.91
1987-11-25,full,42.89
1987-11-25,rolling20y,43.91
1987-11-26,full,42.89
1987-11-26,rolling20y,43.91
1987-11-27,full,43.02
1987-11-27,rolling20y,43.99
1987-11-30,full,43.29
1987-11-30,rolling20y,44.12
1987-12-01,full,38.22
1987-12-01,rolling20y,38.83
1987-12-02,full,38.18
1987-12-02,rolling20y,38.81
1987-12-03,full,38.38
1987-12-03,rolling20y,38.92
1987-12-04,full,38.41
1987-12-04,rolling20y,38.96
1987-12-07,full,38.31
1987-12-07,rolling20y,38.9
1987-12-08,full,38.14
1987-12-08,rolling20y,38.78
1987-12-09,full,37.98
1987-12-09,rolling20y,38.7
1987-12-10,full,38.11
1987-12-10,rolling20y,38.74
1987-12-11,full,38.04
1987-12-11,rolling20y,38.7
1987-12-14,full,37.75
1987-12-14,rolling20y,38.51
1987-12-15,full,37.72
1987-12-15,rolling20y,38.45
1987-12-16,full,37.42
1987-12-16,rolling20y,38.2
1987-12-17,full,37.69
1987-12-17,rolling20y,38.39
1987-12-18,full,37.34
1987-12-18,rolling20y,38.17
1987-12-21,full,37.32
1987-12-21,rolling20y,38.16
1987-12-22,full,37.27
1987-12-22,rolling20y,38.1
1987-12-23,full,37.09
1987-12-23,rolling20y,37.99
1987-12-24,full,37.13
1987-12-24,rolling20y,38.03
1987-12-25,full,37.13
1987-12-25,rolling20y,38.03
1987-12-28,full,37.47
1987-12-28,rolling20y,38.24
1987-12-29,full,37.52
1987-12-29,rolling20y,38.26
1987-12-30,full,37.34
1987-12-30,rolling20y,38.16
1987-12-31,full,37.36
1987-12-31,rolling20y,38.16
1988-01-01,full,45.79
1988-01-01,rolling20y,46.6
1988-01-04,full,45.24
1988-01-04,rolling20y,46.2
1988-01-05,full,44.99
1988-01-05,rolling20y,45.94
1988-01-06,full,45.04
1988-01-06,rolling20y,45.98
1988-01-07,full,44.74
1988-01-07,rolling20y,45.73
1988-01-08,full,46.06
1988-01-08,rolling20y,46.81
1988-01-11,full,45.77
1988-01-11,rolling20y,46.59
1988-01-12,full,45.86
1988-01-12,rolling20y,46.66
1988-01-13,full,45.81
1988-01-13,rolling20y,46.63
1988-01-14,full,45.83
1988-01-14,rolling20y,46.65
1988-01-15,full,45.57
1988-01-15,rolling20y,46.46
1988-01-18,full,45.57
1988-01-18,rolling20y,46.46
1988-01-19,full,45.69
1988-01-19,rolling20y,46.56
1988-01-20,full,46.03
1988-01-20,rolling20y,46.81
1988-01-21,full,46.0
1988-01-21,rolling20y,46.76
1988-01-22,full,45.82
1988-01-22,rolling20y,46.63
1988-01-25,full,45.48
1988-01-25,rolling20y,46.37
1988-01-26,full,45.63
1988-01-26,rolling20y,46.49
1988-01-27,full,45.6
1988-01-27,rolling20y,46.46
1988-01-28,full,45.28
1988-01-28,rolling20y,46.2
1988-01-29,full,44.9
1988-01-29,rolling20y,45.85
1988-02-01,full,35.43
1988-02-01,rolling20y,36.36
1988-02-02,full,35.37
1988-02-02,rolling20y,36.29
1988-02-03,full,35.7
1988-02-03,rolling20y,36.64
1988-02-04,full,35.7
1988-02-04,rolling20y,36.63
1988-02-05,full,35.8
1988-02-05,rolling20y,36.72
1988-02-08,full,35.92
1988-02-08,rolling20y,36.82
1988-02-09,full,35.73
1988-02-09,rolling20y,36.66
1988-02-10,full,35.15
1988-02-10,rolling20y,36.09
1988-02-11,full,35.21
1988-02-11,rolling20y,36.18
1988-02-12,full,35.09
1988-02-12,rolling20y,36.04
1988-02-15,full,35.09
1988-02-15,rolling20y,36.04
1988-02-16,full,34.73
1988-02-16,rolling20y,35.68
1988-02-17,full,34.8
1988-02-17,rolling20y,35.77
1988-02-18,full,34.99
1988-02-18,rolling20y,35.97
1988-02-19,full,34.37
1988-02-19,rolling20y,35.21
1988-02-22,full,33.46
1988-02-22,rolling20y,34.05
1988-02-23,full,33.54
1988-02-23,rolling20y,34.16
1988-02-24,full,33.64
1988-02-24,rolling20y,34.28
1988-02-25,full,34.21
1988-02-25,rolling20y,35.01
1988-02-26,full,33.95
1988-02-26,rolling20y,34.7
1988-02-29,full,32.7
1988-02-29,rolling20y,33.01
1988-03-01,full,33.93
1988-03-01,rolling20y,34.44
1988-03-02,full,33.77
1988-03-02,rolling20y,34.2
1988-03-03,full,33.8
1988-03-03,rolling20y,34.22
1988-03-04,full,33.9
1988-03-04,rolling20y,34.39
1988-03-07,full,33.76
1988-03-07,rolling20y,34.22
1988-03-08,full,33.11
1988-03-08,rolling20y,33.43
1988-03-09,full,33.19
1988-03-09,rolling20y,33.55
1988-03-10,full,34.5
1988-03-10,rolling20y,35.23
1988-03-11,full,34.18
1988-03-11,rolling20y,34.77
1988-03-14,full,33.81
1988-03-14,rolling20y,34.31
1988-03-15,full,33.85
1988-03-15,rolling20y,34.36
1988-03-16,full,33.15
1988-03-16,rolling20y,33.47
1988-03-17,full,32.51
1988-03-17,rolling20y,32.71
1988-03-18,full,32.52
1988-03-18,rolling20y,32.72
1988-03-21,full,33.07
1988-03-21,rolling20y,33.38
1988-03-22,full,33.01
1988-03-22,rolling20y,33.28
1988-03-23,full,32.92
1988-03-23,rolling20y,33.18
1988-03-24,full,34.27
1988-03-24,rolling20y,34.94
1988-03-25,full,35.25
1988-03-25,rolling20y,36.2
1988-03-28,full,35.29
1988-03-28,rolling20y,36.24
1988-03-29,full,34.87
1988-03-29,rolling20y,35.72
1988-03-30,full,35.23
1988-03-30,rolling20y,36.16
1988-03-31,full,35.01
1988-03-31,rolling20y,35.88
1988-04-01,full,35.38
1988-04-01,rolling20y,36.4
1988-04-04,full,35.86
1988-04-04,rolling20y,37.02
1988-04-05,full,35.42
1988-04-05,rolling20y,36.43
1988-04-06,full,33.7
1988-04-06,rolling20y,34.17
1988-04-07,full,33.46
1988-04-07,rolling20y,33.91
1988-04-08,full,32.43
1988-04-08,rolling20y,32.79
1988-04-11,full,32.19
1988-04-11,rolling20y,32.5
1988-04-12,full,31.79
1988-04-12,rolling20y,32.09
1988-04-13,full,31.69
1988-04-13,rolling20y,31.98
1988-04-14,full,34.83
1988-04-14,rolling20y,35.68
1988-04-15,full,34.78
1988-04-15,rolling20y,35.62
1988-04-18,full,34.84
1988-04-18,rolling20y,35.67
1988-04-19,full,35.08
1988-04-19,rolling20y,35.99
1988-04-20,full,35.41
1988-04-20,rolling20y,36.43
1988-04-21,full,35.34
1988-04-21,rolling20y,36.32
1988-04-22,full,34.5
1988-04-22,rolling20y,35.15
1988-04-25,full,33.8
1988-04-25,rolling20y,34.29
1988-04-26,full,33.33
1988-04-26,rolling20y,33.75
1988-04-27,full,33.32
1988-04-27,rolling20y,33.73
1988-04-28,full,33.58
1988-04-28,rolling20y,34.08
1988-04-29,full,33.91
1988-04-29,rolling20y,34.4
1988-05-02,full,42.3
1988-05-02,rolling20y,42.45
1988-05-03,full,41.8
1988-05-03,rolling20y,41.85
1988-05-04,full,42.54
1988-05-04,rolling20y,42.72
1988-05-05,full,42.89
1988-05-05,rolling20y,43.21
1988-05-06,full,43.18
1988-05-06,rolling20y,43.53
1988-05-09,full,43.33
1988-05-09,rolling20y,43.77
1988-05-10,full,42.99
1988-05-10,rolling20y,43.31
1988-05-11,full,43.87
1988-05-11,rolling20y,44.51
1988-05-12,full,43.67
1988-05-12,rolling20y,44.22
1988-05-13,full,43.0
1988-05-13,rolling20y,43.31
1988-05-16,full,42.4
1988-05-16,rolling20y,42.51
1988-05-17,full,43.3
1988-05-17,rolling20y,43.67
1988-05-18,full,44.15
1988-05-18,rolling20y,44.82
1988-05-19,full,43.77
1988-05-19,rolling20y,44.31
1988-05-20,full,43.62
1988-05-20,rolling20y,44.11
1988-05-23,full,44.03
1988-05-23,rolling20y,44.66
1988-05-24,full,43.31
1988-05-24,rolling20y,43.71
1988-05-25,full,43.19
1988-05-25,rolling20y,43.48
1988-05-26,full,42.86
1988-05-26,rolling20y,43.09
1988-05-27,full,43.14
1988-05-27,rolling20y,43.44
1988-05-30,full,43.14
1988-05-30,rolling20y,43.44
1988-05-31,full,40.47
1988-05-31,rolling20y,40.36
1988-06-01,full,28.16
1988-06-01,rolling20y,28.07
1988-06-02,full,28.6
1988-06-02,rolling20y,28.55
1988-06-03,full,28.11
1988-06-03,rolling20y,27.99
1988-06-06,full,27.82
1988-06-06,rolling20y,27.62
1988-06-07,full,28.23
1988-06-07,rolling20y,28.11
1988-06-08,full,25.79
1988-06-08,rolling20y,25.47
1988-06-09,full,26.25
1988-06-09,rolling20y,26.01
1988-06-10,full,25.58
1988-06-10,rolling20y,25.23
1988-06-13,full,25.42
1988-06-13,rolling20y,25.03
1988-06-14,full,24.28
1988-06-14,rolling20y,23.81
1988-06-15,full,24.09
1988-06-15,rolling20y,23.61
1988-06-16,full,26.01
1988-06-16,rolling20y,25.69
1988-06-17,full,25.45
1988-06-17,rolling20y,25.0
1988-06-20,full,26.21
1988-06-20,rolling20y,25.89
1988-06-21,full,24.86
1988-06-21,rolling20y,24.33
1988-06-22,full,23.25
1988-06-22,rolling20y,22.72
1988-06-23,full,23.54
1988-06-23,rolling20y,23.03
1988-06-24,full,24.06
1988-06-24,rolling20y,23.54
1988-06-27,full,26.03
1988-06-27,rolling20y,25.6
1988-06-28,full,24.47
1988-06-28,rolling20y,23.96
1988-06-29,full,25.31
1988-06-29,rolling20y,24.77
1988-06-30,full,23.89
1988-06-30,rolling20y,23.34
1988-07-01,full,37.51
1988-07-01,rolling20y,36.73
1988-07-04,full,37.51
1988-07-04,rolling20y,36.73
1988-07-05,full,35.52
1988-07-05,rolling20y,34.77
1988-07-06,full,37.02
1988-07-06,rolling20y,36.2
1988-07-07,full,36.9
1988-07-07,rolling20y,36.08
1988-07-08,full,37.73
1988-07-08,rolling20y,36.93
1988-07-11,full,37.53
1988-07-11,rolling20y,36.74
1988-07-12,full,38.47
1988-07-12,rolling20y,37.64
1988-07-13,full,37.84
1988-07-13,rolling20y,37.04
1988-07-14,full,37.39
1988-07-14,rolling20y,36.56
1988-07-15,full,37.16
1988-07-15,rolling20y,36.3
1988-07-18,full,37.63
1988-07-18,rolling20y,36.77
1988-07-19,full,37.94
1988-07-19,rolling20y,37.15
1988-07-20,full,36.7
1988-07-20,rolling20y,35.83
1988-07-21,full,38.0
1988-07-21,rolling20y,37.16
1988-07-22,full,39.23
1988-07-22,rolling20y,38.6
1988-07-25,full,38.7
1988-07-25,rolling20y,37.91
1988-07-26,full,38.64
1988-07-26,rolling20y,37.78
1988-07-27,full,39.52
1988-07-27,rolling20y,38.9
1988-07-28,full,38.02
1988-07-28,rolling20y,37.17
1988-07-29,full,35.47
1988-07-29,rolling20y,34.77
1988-08-01,full,34.28
1988-08-01,rolling20y,33.85
1988-08-02,full,34.33
1988-08-02,rolling20y,33.91
1988-08-03,full,33.99
1988-08-03,rolling20y,33.55
1988-08-04,full,34.62
1988-08-04,rolling20y,34.19
1988-08-05,full,35.26
1988-08-05,rolling20y,34.74
1988-08-08,full,36.05
1988-08-08,rolling20y,35.45
1988-08-09,full,38.23
1988-08-09,rolling20y,37.69
1988-08-10,full,40.57
1988-08-10,rolling20y,40.34
1988-08-11,full,39.86
1988-08-11,rolling20y,39.54
1988-08-12,full,39.51
1988-08-12,rolling20y,39.23
1988-08-15,full,41.0
1988-08-15,rolling20y,40.78
1988-08-16,full,40.23
1988-08-16,rolling20y,39.96
1988-08-17,full,41.13
1988-08-17,rolling20y,40.87
1988-08-18,full,40.6
1988-08-18,rolling20y,40.31
1988-08-19,full,40.74
1988-08-19,rolling20y,40.48
1988-08-22,full,42.64
1988-08-22,rolling20y,42.51
1988-08-23,full,42.33
1988-08-23,rolling20y,42.19
1988-08-24,full,40.86
1988-08-24,rolling20y,40.56
1988-08-25,full,40.98
1988-08-25,rolling20y,40.75
1988-08-26,full,40.85
1988-08-26,rolling20y,40.57
1988-08-29,full,40.32
1988-08-29,rolling20y,40.01
1988-08-30,full,40.32
1988-08-30,rolling20y,40.01
1988-08-31,full,41.46
1988-08-31,rolling20y,41.15
1988-09-01,full,43.73
1988-09-01,rolling20y,43.57
1988-09-02,full,40.98
1988-09-02,rolling20y,40.58
1988-09-05,full,40.98
1988-09-05,rolling20y,40.58
1988-09-06,full,39.9
1988-09-06,rolling20y,39.39
1988-09-07,full,39.68
1988-09-07,rolling20y,39.15
1988-09-08,full,39.85
1988-09-08,rolling20y,39.32
1988-09-09,full,39.48
1988-09-09,rolling20y,38.88
1988-09-12,full,39.62
1988-09-12,rolling20y,39.04
1988-09-13,full,39.19
1988-09-13,rolling20y,38.54
1988-09-14,full,39.04
1988-09-14,rolling20y,38.47
1988-09-15,full,39.4
1988-09-15,rolling20y,38.79
1988-09-16,full,38.49
1988-09-16,rolling20y,37.91
1988-09-19,full,39.11
1988-09-19,rolling20y,38.5
1988-09-20,full,38.79
1988-09-20,rolling20y,38.18
1988-09-21,full,38.93
1988-09-21,rolling20y,38.32
1988-09-22,full,39.7
1988-09-22,rolling20y,39.08
1988-09-23,full,39.45
1988-09-23,rolling20y,38.83
1988-09-26,full,40.13
1988-09-26,rolling20y,39.52
1988-09-27,full,40.19
1988-09-27,rolling20y,39.64
1988-09-28,full,39.86
1988-09-28,rolling20y,39.24
1988-09-29,full,38.38
1988-09-29,rolling20y,37.75
1988-09-30,full,38.39
1988-09-30,rolling20y,37.78
1988-10-03,full,30.74
1988-10-03,rolling20y,30.16
1988-10-04,full,31.11
1988-10-04,rolling20y,30.53
1988-10-05,full,30.56
1988-10-05,rolling20y,30.0
1988-10-06,full,30.47
1988-10-06,rolling20y,29.9
1988-10-07,full,27.84
1988-10-07,rolling20y,27.43
1988-10-10,full,27.83
1988-10-10,rolling20y,27.42
1988-10-11,full,27.5
1988-10-11,rolling20y,27.07
1988-10-12,full,29.18
1988-10-12,rolling20y,28.59
1988-10-13,full,28.62
1988-10-13,rolling20y,27.99
1988-10-14,full,28.52
1988-10-14,rolling20y,27.89
1988-10-17,full,28.17
1988-10-17,rolling20y,27.55
1988-10-18,full,26.83
1988-10-18,rolling20y,26.38
1988-10-19,full,27.99
1988-10-19,rolling20y,27.42
1988-10-20,full,25.5
1988-10-20,rolling20y,25.16
1988-10-21,full,25.13
1988-10-21,rolling20y,24.86
1988-10-24,full,25.82
1988-10-24,rolling20y,25.4
1988-10-25,full,25.88
1988-10-25,rolling20y,25.46
1988-10-26,full,26.27
1988-10-26,rolling20y,25.82
1988-10-27,full,28.12
1988-10-27,rolling20y,27.49
1988-10-28,full,27.59
1988-10-28,rolling20y,27.03
1988-10-31,full,27.56
1988-10-31,rolling20y,26.99
1988-11-01,full,27.99
1988-11-01,rolling20y,27.28
1988-11-02,full,27.97
1988-11-02,rolling20y,27.26
1988-11-03,full,27.91
1988-11-03,rolling20y,27.21
1988-11-04,full,29.52
1988-11-04,rolling20y,28.77
1988-11-07,full,30.63
1988-11-07,rolling20y,29.89
1988-11-08,full,30.21
1988-11-08,rolling20y,29.46
1988-11-09,full,30.81
1988-11-09,rolling20y,30.07
1988-11-10,full,30.58
1988-11-10,rolling20y,29.82
1988-11-11,full,32.95
1988-11-11,rolling20y,32.54
1988-11-14,full,32.93
1988-11-14,rolling20y,32.55
1988-11-15,full,32.78
1988-11-15,rolling20y,32.37
1988-11-16,full,34.05
1988-11-16,rolling20y,33.91
1988-11-17,full,33.89
1988-11-17,rolling20y,33.66
1988-11-18,full,33.36
1988-11-18,rolling20y,33.0
1988-11-21,full,33.29
1988-11-21,rolling20y,32.96
1988-11-22,full,32.87
1988-11-22,rolling20y,32.51
1988-11-23,full,32.28
1988-11-23,rolling20y,31.83
1988-11-24,full,32.28
1988-11-24,rolling20y,31.83
1988-11-25,full,32.9
1988-11-25,rolling20y,32.52
1988-11-28,full,32.5
1988-11-28,rolling20y,32.06
1988-11-29,full,31.69
1988-11-29,rolling20y,31.23
1988-11-30,full,30.46
1988-11-30,rolling20y,29.74
1988-12-01,full,27.42
1988-12-01,rolling20y,26.88
1988-12-02,full,27.78
1988-12-02,rolling20y,27.28
1988-12-05,full,26.37
1988-12-05,rolling20y,25.55
1988-12-06,full,25.19
1988-12-06,rolling20y,24.41
1988-12-07,full,25.32
1988-12-07,rolling20y,24.49
1988-12-08,full,25.88
1988-12-08,rolling20y,25.06
1988-12-09,full,25.65
1988-12-09,rolling20y,24.87
1988-12-12,full,26.06
1988-12-12,rolling20y,25.26
1988-12-13,full,26.24
1988-12-13,rolling20y,25.43
1988-12-14,full,26.65
1988-12-14,rolling20y,25.81
1988-12-15,full,27.16
1988-12-15,rolling20y,26.45
1988-12-16,full,26.55
1988-12-16,rolling20y,25.74
1988-12-19,full,25.24
1988-12-19,rolling20y,24.39
1988-12-20,full,26.1
1988-12-20,rolling20y,25.29
1988-12-21,full,26.06
1988-12-21,rolling20y,25.27
1988-12-22,full,26.41
1988-12-22,rolling20y,25.61
1988-12-23,full,25.99
1988-12-23,rolling20y,25.18
1988-12-26,full,25.99
1988-12-26,rolling20y,25.18
1988-12-27,full,26.51
1988-12-27,rolling20y,25.69
1988-12-28,full,26.57
1988-12-28,rolling20y,25.78
1988-12-29,full,25.52
1988-12-29,rolling20y,24.67
1988-12-30,full,26.09
1988-12-30,rolling20y,25.31
1989-01-02,full,35.22
1989-01-02,rolling20y,34.32
1989-01-03,full,36.13
1989-01-03,rolling20y,35.3
1989-01-04,full,34.58
1989-01-04,rolling20y,33.62
1989-01-05,full,34.41
