date,window,score
1975-05-12,full,51.18
1975-05-12,rolling20y,50.0
1975-05-13,full,50.92
1975-05-13,rolling20y,50.0
1975-05-14,full,50.79
1975-05-14,rolling20y,50.0
1975-05-15,full,51.01
1975-05-15,rolling20y,50.02
1975-05-16,full,51.37
1975-05-16,rolling20y,50.07
1975-05-19,full,51.37
1975-05-19,rolling20y,50.07
1975-05-20,full,51.55
1975-05-20,rolling20y,50.11
1975-05-21,full,52.17
1975-05-21,rolling20y,50.46
1975-05-22,full,52.0
1975-05-22,rolling20y,50.35
1975-05-23,full,51.43
1975-05-23,rolling20y,50.09
1975-05-26,full,51.43
1975-05-26,rolling20y,50.09
1975-05-27,full,51.53
1975-05-27,rolling20y,50.1
1975-05-28,full,51.93
1975-05-28,rolling20y,50.3
1975-05-29,full,51.98
1975-05-29,rolling20y,50.37
1975-05-30,full,51.32
1975-05-30,rolling20y,50.06
1975-06-02,full,50.62
1975-06-02,rolling20y,49.74
1975-06-03,full,50.58
1975-06-03,rolling20y,49.74
1975-06-04,full,50.68
1975-06-04,rolling20y,49.77
1975-06-05,full,50.69
1975-06-05,rolling20y,49.78
1975-06-06,full,50.79
1975-06-06,rolling20y,49.8
1975-06-09,full,51.27
1975-06-09,rolling20y,49.89
1975-06-10,full,51.79
1975-06-10,rolling20y,50.2
1975-06-11,full,51.79
1975-06-11,rolling20y,50.2
1975-06-12,full,52.16
1975-06-12,rolling20y,50.5
1975-06-13,full,51.94
1975-06-13,rolling20y,50.32
1975-06-16,full,51.44
1975-06-16,rolling20y,49.98
1975-06-17,full,52.08
1975-06-17,rolling20y,50.45
1975-06-18,full,52.29
1975-06-18,rolling20y,50.61
1975-06-19,full,51.35
1975-06-19,rolling20y,49.96
1975-06-20,full,51.18
1975-06-20,rolling20y,49.88
1975-06-23,full,50.85
1975-06-23,rolling20y,49.81
1975-06-24,full,50.73
1975-06-24,rolling20y,49.79
1975-06-25,full,50.64
1975-06-25,rolling20y,49.76
1975-06-26,full,50.63
1975-06-26,rolling20y,49.76
1975-06-27,full,50.69
1975-06-27,rolling20y,49.79
1975-06-30,full,50.62
1975-06-30,rolling20y,49.75
1975-07-01,full,50.41
1975-07-01,rolling20y,49.45
1975-07-02,full,50.68
1975-07-02,rolling20y,49.51
1975-07-03,full,50.68
1975-07-03,rolling20y,49.51
1975-07-04,full,50.68
1975-07-04,rolling20y,49.51
1975-07-07,full,51.08
1975-07-07,rolling20y,49.69
1975-07-08,full,51.25
1975-07-08,rolling20y,49.79
1975-07-09,full,50.68
1975-07-09,rolling20y,49.51
1975-07-10,full,50.74
1975-07-10,rolling20y,49.56
1975-07-11,full,50.86
1975-07-11,rolling20y,49.61
1975-07-14,full,50.72
1975-07-14,rolling20y,49.55
1975-07-15,full,50.64
1975-07-15,rolling20y,49.5
1975-07-16,full,51.16
1975-07-16,rolling20y,49.79
1975-07-17,full,51.86
1975-07-17,rolling20y,50.33
1975-07-18,full,52.31
1975-07-18,rolling20y,50.65
1975-07-21,full,53.05
1975-07-21,rolling20y,51.3
1975-07-22,full,54.22
1975-07-22,rolling20y,52.03
1975-07-23,full,56.34
1975-07-23,rolling20y,53.71
1975-07-24,full,56.8
1975-07-24,rolling20y,54.05
1975-07-25,full,58.56
1975-07-25,rolling20y,55.43
1975-07-28,full,59.96
1975-07-28,rolling20y,56.41
1975-07-29,full,61.2
1975-07-29,rolling20y,57.49
1975-07-30,full,60.01
1975-07-30,rolling20y,56.44
1975-07-31,full,60.47
1975-07-31,rolling20y,56.83
1975-08-01,full,61.57
1975-08-01,rolling20y,57.85
1975-08-04,full,63.99
1975-08-04,rolling20y,61.25
1975-08-05,full,66.64
1975-08-05,rolling20y,64.6
1975-08-06,full,66.78
1975-08-06,rolling20y,64.78
1975-08-07,full,66.82
1975-08-07,rolling20y,64.82
1975-08-08,full,67.87
1975-08-08,rolling20y,66.14
1975-08-11,full,66.59
1975-08-11,rolling20y,64.5
1975-08-12,full,65.38
1975-08-12,rolling20y,63.08
1975-08-13,full,68.74
1975-08-13,rolling20y,67.36
1975-08-14,full,70.1
1975-08-14,rolling20y,69.3
1975-08-15,full,68.01
1975-08-15,rolling20y,66.27
1975-08-18,full,68.63
1975-08-18,rolling20y,67.15
1975-08-19,full,72.36
1975-08-19,rolling20y,72.13
1975-08-20,full,77.23
1975-08-20,rolling20y,77.92
1975-08-21,full,77.62
1975-08-21,rolling20y,78.21
1975-08-22,full,74.6
1975-08-22,rolling20y,74.89
1975-08-25,full,72.63
1975-08-25,rolling20y,72.44
1975-08-26,full,75.84
1975-08-26,rolling20y,76.53
1975-08-27,full,74.59
1975-08-27,rolling20y,74.87
1975-08-28,full,69.38
1975-08-28,rolling20y,68.23
1975-08-29,full,68.08
1975-08-29,rolling20y,66.33
1975-09-01,full,67.83
1975-09-01,rolling20y,66.07
1975-09-02,full,71.97
1975-09-02,rolling20y,71.7
1975-09-03,full,70.71
1975-09-03,rolling20y,70.19
1975-09-04,full,70.47
1975-09-04,rolling20y,69.83
1975-09-05,full,72.32
1975-09-05,rolling20y,72.05
1975-09-08,full,71.78
1975-09-08,rolling20y,71.44
1975-09-09,full,75.7
1975-09-09,rolling20y,76.39
1975-09-10,full,77.72
1975-09-10,rolling20y,78.22
1975-09-11,full,78.57
1975-09-11,rolling20y,79.02
1975-09-12,full,79.03
1975-09-12,rolling20y,79.48
1975-09-15,full,79.9
1975-09-15,rolling20y,80.51
1975-09-16,full,81.54
1975-09-16,rolling20y,82.7
1975-09-17,full,81.19
1975-09-17,rolling20y,82.21
1975-09-18,full,78.07
1975-09-18,rolling20y,78.5
1975-09-19,full,73.8
1975-09-19,rolling20y,73.88
1975-09-22,full,76.28
1975-09-22,rolling20y,76.95
1975-09-23,full,76.82
1975-09-23,rolling20y,77.49
1975-09-24,full,74.93
1975-09-24,rolling20y,75.27
1975-09-25,full,75.51
1975-09-25,rolling20y,76.1
1975-09-26,full,74.24
1975-09-26,rolling20y,74.38
1975-09-29,full,77.41
1975-09-29,rolling20y,77.9
1975-09-30,full,79.84
1975-09-30,rolling20y,80.39
1975-10-01,full,81.24
1975-10-01,rolling20y,82.39
1975-10-02,full,79.76
1975-10-02,rolling20y,80.45
1975-10-03,full,75.62
1975-10-03,rolling20y,76.22
1975-10-06,full,73.36
1975-10-06,rolling20y,73.35
1975-10-07,full,73.85
1975-10-07,rolling20y,73.98
1975-10-08,full,70.96
1975-10-08,rolling20y,70.38
1975-10-09,full,70.18
1975-10-09,rolling20y,69.44
1975-10-10,full,70.81
1975-10-10,rolling20y,70.16
1975-10-13,full,67.68
1975-10-13,rolling20y,65.88
1975-10-14,full,68.66
1975-10-14,rolling20y,67.27
1975-10-15,full,69.07
1975-10-15,rolling20y,67.91
1975-10-16,full,68.96
1975-10-16,rolling20y,67.72
1975-10-17,full,70.53
1975-10-17,rolling20y,69.85
1975-10-20,full,68.21
1975-10-20,rolling20y,66.63
1975-10-21,full,66.32
1975-10-21,rolling20y,63.98
1975-10-22,full,66.2
1975-10-22,rolling20y,63.84
1975-10-23,full,65.2
1975-10-23,rolling20y,62.64
1975-10-24,full,69.34
1975-10-24,rolling20y,68.24
1975-10-27,full,69.84
1975-10-27,rolling20y,68.9
1975-10-28,full,67.9
1975-10-28,rolling20y,66.11
1975-10-29,full,71.19
1975-10-29,rolling20y,70.63
1975-10-30,full,71.68
1975-10-30,rolling20y,71.18
1975-10-31,full,72.67
1975-10-31,rolling20y,72.46
1975-11-03,full,74.64
1975-11-03,rolling20y,75.2
1975-11-04,full,73.64
1975-11-04,rolling20y,73.97
1975-11-05,full,72.24
1975-11-05,rolling20y,72.12
1975-11-06,full,71.39
1975-11-06,rolling20y,71.01
1975-11-07,full,72.23
1975-11-07,rolling20y,72.1
1975-11-10,full,72.37
1975-11-10,rolling20y,72.29
1975-11-11,full,71.16
1975-11-11,rolling20y,70.7
1975-11-12,full,67.82
1975-11-12,rolling20y,66.33
1975-11-13,full,68.43
1975-11-13,rolling20y,67.22
1975-11-14,full,68.77
1975-11-14,rolling20y,67.64
1975-11-17,full,67.69
1975-11-17,rolling20y,66.13
1975-11-18,full,69.09
1975-11-18,rolling20y,68.17
1975-11-19,full,71.98
1975-11-19,rolling20y,71.73
1975-11-20,full,72.96
1975-11-20,rolling20y,73.0
1975-11-21,full,73.41
1975-11-21,rolling20y,73.58
1975-11-24,full,73.09
1975-11-24,rolling20y,73.15
1975-11-25,full,70.57
1975-11-25,rolling20y,69.97
1975-11-26,full,70.12
1975-11-26,rolling20y,69.38
1975-11-27,full,70.12
1975-11-27,rolling20y,69.38
1975-11-28,full,69.53
1975-11-28,rolling20y,68.68
1975-12-01,full,69.92
1975-12-01,rolling20y,69.41
1975-12-02,full,73.58
1975-12-02,rolling20y,74.1
1975-12-03,full,77.01
1975-12-03,rolling20y,77.43
1975-12-04,full,76.67
1975-12-04,rolling20y,77.03
1975-12-05,full,78.58
1975-12-05,rolling20y,79.52
1975-12-08,full,78.12
1975-12-08,rolling20y,78.92
1975-12-09,full,77.78
1975-12-09,rolling20y,78.46
1975-12-10,full,76.47
1975-12-10,rolling20y,76.8
1975-12-11,full,76.98
1975-12-11,rolling20y,77.37
1975-12-12,full,76.99
1975-12-12,rolling20y,77.37
1975-12-15,full,76.61
1975-12-15,rolling20y,76.94
1975-12-16,full,74.99
1975-12-16,rolling20y,75.28
1975-12-17,full,74.64
1975-12-17,rolling20y,74.99
1975-12-18,full,74.16
1975-12-18,rolling20y,74.63
1975-12-19,full,75.47
1975-12-19,rolling20y,75.73
1975-12-22,full,76.74
1975-12-22,rolling20y,77.07
1975-12-23,full,75.63
1975-12-23,rolling20y,75.85
1975-12-24,full,74.29
1975-12-24,rolling20y,74.69
1975-12-25,full,74.29
1975-12-25,rolling20y,74.69
1975-12-26,full,72.35
1975-12-26,rolling20y,72.51
1975-12-29,full,72.76
1975-12-29,rolling20y,73.12
1975-12-30,full,73.76
1975-12-30,rolling20y,74.18
1975-12-31,full,72.71
1975-12-31,rolling20y,73.03
1976-01-01,full,66.03
1976-01-01,rolling20y,66.35
1976-01-02,full,64.28
1976-01-02,rolling20y,63.94
1976-01-05,full,59.96
1976-01-05,rolling20y,58.32
1976-01-06,full,57.39
1976-01-06,rolling20y,54.69
1976-01-07,full,56.55
1976-01-07,rolling20y,53.61
1976-01-08,full,55.2
1976-01-08,rolling20y,52.05
1976-01-09,full,54.39
1976-01-09,rolling20y,50.96
1976-01-12,full,51.41
1976-01-12,rolling20y,46.86
1976-01-13,full,53.31
1976-01-13,rolling20y,49.45
1976-01-14,full,50.19
1976-01-14,rolling20y,45.75
1976-01-15,full,51.31
1976-01-15,rolling20y,46.75
1976-01-16,full,50.7
1976-01-16,rolling20y,46.2
1976-01-19,full,48.5
1976-01-19,rolling20y,44.48
1976-01-20,full,47.59
1976-01-20,rolling20y,43.72
1976-01-21,full,48.95
1976-01-21,rolling20y,44.72
1976-01-22,full,49.44
1976-01-22,rolling20y,45.11
1976-01-23,full,47.44
1976-01-23,rolling20y,43.62
1976-01-26,full,46.83
1976-01-26,rolling20y,43.22
1976-01-27,full,48.01
1976-01-27,rolling20y,44.04
1976-01-28,full,49.12
1976-01-28,rolling20y,44.9
1976-01-29,full,46.45
1976-01-29,rolling20y,42.92
1976-01-30,full,45.42
1976-01-30,rolling20y,42.3
1976-02-02,full,33.39
1976-02-02,rolling20y,30.25
1976-02-03,full,33.09
1976-02-03,rolling20y,30.04
1976-02-04,full,32.16
1976-02-04,rolling20y,29.35
1976-02-05,full,34.55
1976-02-05,rolling20y,31.01
1976-02-06,full,36.4
1976-02-06,rolling20y,32.41
1976-02-09,full,36.2
1976-02-09,rolling20y,32.24
1976-02-10,full,34.79
1976-02-10,rolling20y,31.22
1976-02-11,full,34.43
1976-02-11,rolling20y,30.92
1976-02-12,full,35.41
1976-02-12,rolling20y,31.64
1976-02-13,full,36.67
1976-02-13,rolling20y,32.58
1976-02-16,full,36.67
1976-02-16,rolling20y,32.58
1976-02-17,full,37.87
1976-02-17,rolling20y,33.46
1976-02-18,full,36.56
1976-02-18,rolling20y,32.51
1976-02-19,full,33.91
1976-02-19,rolling20y,30.58
1976-02-20,full,33.03
1976-02-20,rolling20y,29.99
1976-02-23,full,33.8
1976-02-23,rolling20y,30.52
1976-02-24,full,33.29
1976-02-24,rolling20y,30.2
1976-02-25,full,33.91
1976-02-25,rolling20y,30.6
1976-02-26,full,36.77
1976-02-26,rolling20y,32.71
1976-02-27,full,37.52
1976-02-27,rolling20y,33.24
1976-03-01,full,10.63
1976-03-01,rolling20y,6.54
1976-03-02,full,9.75
1976-03-02,rolling20y,5.87
1976-03-03,full,10.91
1976-03-03,rolling20y,6.76
1976-03-04,full,13.0
1976-03-04,rolling20y,8.52
1976-03-05,full,12.78
1976-03-05,rolling20y,8.28
1976-03-08,full,10.81
1976-03-08,rolling20y,6.69
1976-03-09,full,10.27
1976-03-09,rolling20y,6.22
1976-03-10,full,9.69
1976-03-10,rolling20y,5.79
1976-03-11,full,8.14
1976-03-11,rolling20y,4.66
1976-03-12,full,10.12
1976-03-12,rolling20y,6.16
1976-03-15,full,12.13
1976-03-15,rolling20y,7.71
1976-03-16,full,10.19
1976-03-16,rolling20y,6.2
1976-03-17,full,10.35
1976-03-17,rolling20y,6.33
1976-03-18,full,11.13
1976-03-18,rolling20y,6.93
1976-03-19,full,10.99
1976-03-19,rolling20y,6.86
1976-03-22,full,10.81
1976-03-22,rolling20y,6.73
1976-03-23,full,8.2
1976-03-23,rolling20y,4.71
1976-03-24,full,6.55
1976-03-24,rolling20y,3.54
1976-03-25,full,7.43
1976-03-25,rolling20y,4.16
1976-03-26,full,7.56
1976-03-26,rolling20y,4.26
1976-03-29,full,8.39
1976-03-29,rolling20y,4.91
1976-03-30,full,9.15
1976-03-30,rolling20y,5.41
1976-03-31,full,8.0
1976-03-31,rolling20y,4.56
1976-04-01,full,13.41
1976-04-01,rolling20y,9.73
1976-04-02,full,13.5
1976-04-02,rolling20y,9.82
1976-04-05,full,11.59
1976-04-05,rolling20y,8.43
1976-04-06,full,11.86
1976-04-06,rolling20y,8.61
1976-04-07,full,13.87
1976-04-07,rolling20y,10.12
1976-04-08,full,15.68
1976-04-08,rolling20y,11.56
1976-04-09,full,17.49
1976-04-09,rolling20y,13.17
1976-04-12,full,17.81
1976-04-12,rolling20y,13.52
1976-04-13,full,16.37
1976-04-13,rolling20y,12.12
1976-04-14,full,17.72
1976-04-14,rolling20y,13.43
1976-04-15,full,17.14
1976-04-15,rolling20y,12.84
1976-04-16,full,17.14
1976-04-16,rolling20y,12.84
1976-04-19,full,15.72
1976-04-19,rolling20y,11.63
1976-04-20,full,13.24
1976-04-20,rolling20y,9.64
1976-04-21,full,12.57
1976-04-21,rolling20y,9.14
1976-04-22,full,13.23
1976-04-22,rolling20y,9.63
1976-04-23,full,14.61
1976-04-23,rolling20y,10.75
1976-04-26,full,14.43
1976-04-26,rolling20y,10.62
1976-04-27,full,15.5
1976-04-27,rolling20y,11.46
1976-04-28,full,15.06
1976-04-28,rolling20y,11.13
1976-04-29,full,15.12
1976-04-29,rolling20y,11.15
1976-04-30,full,16.2
1976-04-30,rolling20y,12.0
1976-05-03,full,17.66
1976-05-03,rolling20y,13.35
1976-05-04,full,16.76
1976-05-04,rolling20y,12.46
1976-05-05,full,17.95
1976-05-05,rolling20y,13.64
1976-05-06,full,17.53
1976-05-06,rolling20y,13.2
1976-05-07,full,16.35
1976-05-07,rolling20y,12.11
1976-05-10,full,14.16
1976-05-10,rolling20y,10.32
1976-05-11,full,14.67
1976-05-11,rolling20y,10.77
1976-05-12,full,15.1
1976-05-12,rolling20y,11.07
1976-05-13,full,16.4
1976-05-13,rolling20y,12.15
1976-05-14,full,18.01
1976-05-14,rolling20y,13.68
1976-05-17,full,18.73
1976-05-17,rolling20y,14.64
1976-05-18,full,18.49
1976-05-18,rolling20y,14.34
1976-05-19,full,18.9
1976-05-19,rolling20y,14.86
1976-05-20,full,17.4
1976-05-20,rolling20y,13.01
1976-05-21,full,19.15
1976-05-21,rolling20y,15.18
1976-05-24,full,23.35
1976-05-24,rolling20y,20.64
1976-05-25,full,23.39
1976-05-25,rolling20y,20.7
1976-05-26,full,23.93
1976-05-26,rolling20y,21.42
1976-05-27,full,24.0
1976-05-27,rolling20y,21.47
1976-05-28,full,22.37
1976-05-28,rolling20y,19.49
1976-05-31,full,22.37
1976-05-31,rolling20y,19.49
1976-06-01,full,33.79
1976-06-01,rolling20y,31.01
1976-06-02,full,33.11
1976-06-02,rolling20y,30.28
1976-06-03,full,33.51
1976-06-03,rolling20y,30.68
1976-06-04,full,36.2
1976-06-04,rolling20y,34.28
1976-06-07,full,37.71
1976-06-07,rolling20y,36.38
1976-06-08,full,37.46
1976-06-08,rolling20y,36.02
1976-06-09,full,37.79
1976-06-09,rolling20y,36.51
1976-06-10,full,35.89
1976-06-10,rolling20y,33.74
1976-06-11,full,32.82
1976-06-11,rolling20y,29.85
1976-06-14,full,30.62
1976-06-14,rolling20y,27.06
1976-06-15,full,31.95
1976-06-15,rolling20y,28.87
1976-06-16,full,30.9
1976-06-16,rolling20y,27.39
1976-06-17,full,27.73
1976-06-17,rolling20y,23.38
1976-06-18,full,27.6
1976-06-18,rolling20y,23.25
1976-06-21,full,26.89
1976-06-21,rolling20y,22.65
1976-06-22,full,28.52
1976-06-22,rolling20y,24.22
1976-06-23,full,29.22
1976-06-23,rolling20y,25.14
1976-06-24,full,28.33
1976-06-24,rolling20y,24.01
1976-06-25,full,28.64
1976-06-25,rolling20y,24.37
1976-06-28,full,29.6
1976-06-28,rolling20y,25.66
1976-06-29,full,28.82
1976-06-29,rolling20y,24.59
1976-06-30,full,28.25
1976-06-30,rolling20y,23.92
1976-07-01,full,37.33
1976-07-01,rolling20y,33.6
1976-07-02,full,36.35
1976-07-02,rolling20y,32.25
1976-07-05,full,36.35
1976-07-05,rolling20y,32.25
1976-07-06,full,37.79
1976-07-06,rolling20y,34.23
1976-07-07,full,37.47
1976-07-07,rolling20y,33.83
1976-07-08,full,37.36
1976-07-08,rolling20y,33.64
1976-07-09,full,35.41
1976-07-09,rolling20y,31.09
1976-07-12,full,33.93
1976-07-12,rolling20y,29.72
1976-07-13,full,34.55
1976-07-13,rolling20y,30.26
1976-07-14,full,34.32
1976-07-14,rolling20y,30.07
1976-07-15,full,35.83
1976-07-15,rolling20y,31.6
1976-07-16,full,37.3
1976-07-16,rolling20y,33.57
1976-07-19,full,38.33
1976-07-19,rolling20y,34.99
1976-07-20,full,39.86
1976-07-20,rolling20y,36.98
1976-07-21,full,39.84
1976-07-21,rolling20y,36.96
1976-07-22,full,39.81
1976-07-22,rolling20y,36.94
1976-07-23,full,39.68
1976-07-23,rolling20y,36.85
1976-07-26,full,39.87
1976-07-26,rolling20y,37.02
1976-07-27,full,41.3
1976-07-27,rolling20y,38.72
1976-07-28,full,42.56
1976-07-28,rolling20y,40.32
1976-07-29,full,42.99
1976-07-29,rolling20y,40.91
1976-07-30,full,41.91
1976-07-30,rolling20y,39.52
1976-08-02,full,51.32
1976-08-02,rolling20y,49.17
1976-08-03,full,49.26
1976-08-03,rolling20y,46.52
1976-08-04,full,48.85
1976-08-04,rolling20y,46.1
1976-08-05,full,50.26
1976-08-05,rolling20y,47.8
1976-08-06,full,50.58
1976-08-06,rolling20y,48.24
1976-08-09,full,51.46
1976-08-09,rolling20y,49.38
1976-08-10,full,49.48
1976-08-10,rolling20y,46.81
1976-08-11,full,50.44
1976-08-11,rolling20y,48.1
1976-08-12,full,50.21
1976-08-12,rolling20y,47.75
1976-08-13,full,50.35
1976-08-13,rolling20y,47.97
1976-08-16,full,50.09
1976-08-16,rolling20y,47.6
