date,window,score,regime
1975-04-18,rolling20y,44.87,cool
1975-04-21,full,51.39,cool
1975-04-21,rolling20y,44.87,cool
1975-04-22,full,51.39,cool
1975-04-22,rolling20y,44.87,cool
1975-04-23,full,51.39,cool
1975-04-23,rolling20y,44.87,cool
1975-04-24,full,51.39,cool
1975-04-24,rolling20y,44.87,cool
1975-04-25,full,51.39,cool
1975-04-25,rolling20y,44.87,cool
1975-04-28,full,51.39,cool
1975-04-28,rolling20y,44.87,cool
1975-04-29,full,51.39,cool
1975-04-29,rolling20y,44.87,cool
1975-04-30,full,51.39,cool
1975-04-30,rolling20y,44.87,cool
1975-05-01,full,56.55,cool
1975-05-01,rolling20y,49.64,cool
1975-05-02,full,56.55,cool
1975-05-02,rolling20y,49.64,cool
1975-05-05,full,56.55,cool
1975-05-05,rolling20y,49.64,cool
1975-05-06,full,56.55,cool
1975-05-06,rolling20y,49.64,cool
1975-05-07,full,56.55,cool
1975-05-07,rolling20y,49.64,cool
1975-05-08,full,56.55,cool
1975-05-08,rolling20y,49.64,cool
1975-05-09,full,56.55,cool
1975-05-09,rolling20y,49.64,cool
1975-05-12,full,56.55,cool
1975-05-12,rolling20y,49.64,cool
1975-05-13,full,56.55,cool
1975-05-13,rolling20y,49.64,cool
1975-05-14,full,56.55,cool
1975-05-14,rolling20y,49.64,cool
1975-05-15,full,56.55,cool
1975-05-15,rolling20y,49.64,cool
1975-05-16,full,56.55,cool
1975-05-16,rolling20y,49.64,cool
1975-05-19,full,56.55,cool
1975-05-19,rolling20y,49.64,cool
1975-05-20,full,56.55,cool
1975-05-20,rolling20y,49.64,cool
1975-05-21,full,56.55,cool
1975-05-21,rolling20y,49.64,cool
1975-05-22,full,56.55,cool
1975-05-22,rolling20y,49.64,cool
1975-05-23,full,56.55,cool
1975-05-23,rolling20y,49.64,cool
1975-05-26,full,56.55,cool
1975-05-26,rolling20y,49.64,cool
1975-05-27,full,56.55,cool
1975-05-27,rolling20y,49.64,cool
1975-05-28,full,56.55,cool
1975-05-28,rolling20y,49.64,cool
1975-05-29,full,56.55,cool
1975-05-29,rolling20y,49.64,cool
1975-05-30,full,56.55,cool
1975-05-30,rolling20y,49.64,cool
1975-06-02,full,57.92,cool
1975-06-02,rolling20y,50.83,cool
1975-06-03,full,57.92,cool
1975-06-03,rolling20y,50.83,cool
