date,window,pillar,score
1990-02-02,full,leverage,99.68
1990-02-02,full,liquidity,37.94
1990-02-02,full,valuation,57.21
1990-02-02,rolling20y,leverage,99.38
1990-02-02,rolling20y,liquidity,42.21
1990-02-02,rolling20y,valuation,79.58
1990-02-05,full,leverage,99.68
1990-02-05,full,liquidity,37.74
1990-02-05,full,valuation,57.21
1990-02-05,rolling20y,leverage,99.38
1990-02-05,rolling20y,liquidity,42.01
1990-02-05,rolling20y,valuation,79.58
1990-02-06,full,leverage,99.68
1990-02-06,full,liquidity,37.81
1990-02-06,full,valuation,57.21
1990-02-06,rolling20y,leverage,99.38
1990-02-06,rolling20y,liquidity,42.08
1990-02-06,rolling20y,valuation,79.58
1990-02-07,full,leverage,99.68
1990-02-07,full,liquidity,38.2
1990-02-07,full,valuation,57.21
1990-02-07,rolling20y,leverage,99.38
1990-02-07,rolling20y,liquidity,42.47
1990-02-07,rolling20y,valuation,79.58
1990-02-08,full,leverage,99.68
1990-02-08,full,liquidity,38.03
1990-02-08,full,valuation,57.21
1990-02-08,rolling20y,leverage,99.38
1990-02-08,rolling20y,liquidity,42.29
1990-02-08,rolling20y,valuation,79.58
1990-02-09,full,leverage,99.68
1990-02-09,full,liquidity,38.65
1990-02-09,full,valuation,57.21
1990-02-09,rolling20y,leverage,99.38
1990-02-09,rolling20y,liquidity,42.91
1990-02-09,rolling20y,valuation,79.58
1990-02-12,full,leverage,99.68
1990-02-12,full,liquidity,38.44
1990-02-12,full,valuation,57.21
1990-02-12,rolling20y,leverage,99.38
1990-02-12,rolling20y,liquidity,42.7
1990-02-12,rolling20y,valuation,79.58
1990-02-13,full,leverage,99.68
1990-02-13,full,liquidity,37.85
1990-02-13,full,valuation,57.21
1990-02-13,rolling20y,leverage,99.38
1990-02-13,rolling20y,liquidity,42.11
1990-02-13,rolling20y,valuation,79.58
1990-02-14,full,leverage,99.68
1990-02-14,full,liquidity,38.32
1990-02-14,full,valuation,57.21
1990-02-14,rolling20y,leverage,99.38
1990-02-14,rolling20y,liquidity,42.58
1990-02-14,rolling20y,valuation,79.58
1990-02-15,full,leverage,99.68
1990-02-15,full,liquidity,38.44
1990-02-15,full,valuation,57.21
1990-02-15,rolling20y,leverage,99.38
1990-02-15,rolling20y,liquidity,42.7
